accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
GEOMETRIC_CENTER,"53rd St, Queens, NY, USA",ChIJucxSEOBewokRCxjIC5we7N8,"53rd Precinct Stationhouse, Queens, NY, US",40.74258349999999,-73.91189840000001,2,,OK,route
ROOFTOP,"191 Godwin Ave, Staten Island, NY 10004, USA",ChIJVTEwlyxMwokRVCbEVkYtXZY,"SS 45 Dominic Lane, Staten Island, NY, US",40.6161354,-74.13073899999998,1,10004,OK,"establishment,lawyer,point_of_interest"
ROOFTOP,"191 Godwin Ave, Staten Island, NY 10004, USA",ChIJVTEwlyxMwokRVCbEVkYtXZY,"SS 25 Dominic Lane, Staten Island, NY, US",40.6161354,-74.13073899999998,1,10004,OK,"establishment,lawyer,point_of_interest"
APPROXIMATE,"Poughkeepsie, NY, USA",ChIJO7vgK2Q-3YkRSfMg--tdqF4,"SS 80 Poughkeepsie Court, Staten Island, NY, US",41.7003713,-73.92097009999998,2,,OK,"locality,political"
ROOFTOP,"70 Wards Point Ave, Staten Island, NY 10307, USA",ChIJO7Ma9Y_Kw4kRd-wuQHfpPpE,"SS 70 Wards Point Avenue, Staten Island, NY, US",40.5058977,-74.254476,1,10307,OK,premise
APPROXIMATE,"South Dakota, USA",ChIJpTjphS1DfYcRt6SGMSnW8Ac,"SD 470 Rensselaer Avenue, Staten Island, NY, US",43.9695148,-99.9018131,2,,OK,"administrative_area_level_1,political"
ROOFTOP,"245 Edgegrove Ave, Staten Island, NY 10312, USA",ChIJz1zJ2PxKwokR1sPxF5nuPMg,"SS SD 245 Edgegrove Avenue, Staten Island, NY, US",40.5428989,-74.1816341,1,10312,OK,premise
ROOFTOP,"203 Main St, Staten Island, NY 10307, USA",ChIJLaj9AZzKw4kRFTqNh_kMbF8,"SS 203 Main Street, Staten Island, NY, US",40.51031589999999,-74.24734670000002,1,10307,OK,premise
APPROXIMATE,"Detroit, MI, USA",ChIJdR3LEAHKJIgR0sS5NU6Gdlc,"SS SD Detroit and Edgegrove Avenues (B 6228, L 23), Staten Island, NY, US",42.33142700000001,-83.0457538,2,,OK,"locality,political"
ROOFTOP,"151 Mcbaine Ave, Staten Island, NY 10309, USA",ChIJf_SWXdFKwokRneVIz3xMgtE,"SD 151 McBaine Avenue, Staten Island, NY, US",40.5435199,-74.2115814,1,10309,OK,premise
